year,avg tempratures
81-01,17.7
81-02,17.6
81-03,13.5
81-04,12.3
81-05,9.4
81-06,7.3
81-07,7.5
81-08,7.2
81-09,10.1
81-10,10.0
81-11,11.8
81-12,13.6
82-01,16.5
82-02,15.9
82-03,14.9
82-04,11.4
82-05,9.5
82-06,5.6
82-07,4.5
82-08,7.9
82-09,7.2
82-10,9.5
82-11,12.4
82-12,13.7
83-01,13.1
83-02,16.8
83-03,15.7
83-04,10.5
83-05,10.1
83-06,6.6
83-07,6.8
83-08,8.7
83-09,9.2
83-10,10.3
83-11,11.9
83-12,14.3
84-01,14.3
84-02,14.9
84-03,12.8
84-04,10.7
84-05,8.1
84-06,7.7
84-07,5.9
84-08,8.6
84-09,8.0
84-10,10.6
84-11,12.6
84-12,12.6
85-01,14.2
85-02,14.0
85-03,15.8
85-04,12.9
85-05,9.4
85-06,7.0
85-07,6.1
85-08,7.6
85-09,8.8
85-10,10.4
85-11,13.0
85-12,14.1
86-01,13.8
86-02,14.1
86-03,14.6
86-04,11.6
86-05,10.2
86-06,7.5
86-07,6.9
86-08,7.3
86-09,8.9
86-10,9.6
86-11,11.7
86-12,12.9
87-01,13.2
87-02,13.8
87-03,12.6
87-04,12.2
87-05,9.8
87-06,8.2
87-07,5.9
87-08,8.0
87-09,9.8
87-10,10.2
87-11,13.1
87-12,13.2
88-01,16.4
88-02,14.5
88-03,14.7
88-04,12.8
88-05,11.3
88-06,8.3
88-07,8.2
88-08,8.7
88-09,9.8
88-10,10.8
88-11,12.2
88-12,15.4
89-01,15.1
89-02,16.3
89-03,15.8
89-04,12.5
89-05,10.7
89-06,6.5
89-07,6.3
89-08,6.7
89-09,8.4
89-10,9.8
89-11,12.8
89-12,13.9
90-01,15.5
90-02,15.4
90-03,14.8
90-04,13.4
90-05,9.7
90-06,7.7
90-07,8.1
90-08,7.8
90-09,9.1
90-10,11.3
90-11,12.6
90-12,14.3
